transition_idx,from_frame,to_frame,time_s,from_state,to_state,behavior_active,zscore_DA
7235,7234,7235,977.1,0,2,,0.1040928305559151
7243,7242,7243,977.9,2,0,,0.3128386502807223
7249,7248,7249,978.5,0,2,,0.563477930233443
7263,7262,7263,979.9,2,0,,0.5384092149221067
7270,7269,7270,980.6,0,1,,0.1516966753210039
7281,7280,7281,981.7,1,2,,0.627613318540656
7319,7318,7319,985.5,2,1,,-0.0302076443929691
7334,7333,7334,987.0,1,2,,0.3684111104441817
7370,7369,7370,990.6,2,1,,0.395132411917462
7410,7409,7410,994.6,1,2,,-0.8735402314137264
7421,7420,7421,995.7,2,1,,-0.8562783181481307
7424,7423,7424,996.0,1,0,,-0.988939409407754
7437,7436,7437,997.3,0,3,,-0.7594690190687049
7444,7443,7444,998.0,3,0,,-0.6261370745758074
7472,7471,7472,1000.8,0,3,,0.1897084086534788
7485,7484,7485,1002.1,3,0,,-0.7908074068876669
7493,7492,7493,1002.9,0,2,,-0.5440264282752255
7514,7513,7514,1005.0,2,0,,-0.4929334331931665
7526,7525,7526,1006.2,0,2,,-0.4282853201111183
7542,7541,7542,1007.8,2,0,,-0.6521522507566129
7571,7570,7571,1010.7,0,2,,0.0396690530806334
7580,7579,7580,1011.6,2,0,,-0.5236152906166947
7585,7584,7585,1012.1,0,3,,0.899610277136864
7605,7604,7605,1014.1,3,1,,-0.3326118105041926
7656,7655,7656,1019.2,1,3,,-0.7911979898301729
7677,7676,7677,1021.3,3,0,,-0.7642972651764934
7685,7684,7685,1022.1,0,1,,-0.9414432043181294
7704,7703,7704,1024.0,1,0,,-0.7123597590946883
7710,7709,7710,1024.6,0,2,,-0.8242764870595992
7718,7717,7718,1025.4,2,1,,-0.854008341032117
7724,7723,7724,1026.0,1,3,,-0.533883735359328
7736,7735,7736,1027.2,3,1,,-0.9098817418126856
7750,7749,7750,1028.6,1,3,,-0.2398628280709313
7759,7758,7759,1029.5,3,1,,0.074378416826149
7780,7779,7780,1031.6,1,3,,-0.6801376419876696
7787,7786,7787,1032.3,3,1,,-0.3922645121740187
7803,7802,7803,1033.9,1,3,,-0.1519904678334611
7815,7814,7815,1035.1,3,1,,-0.3890147826347577
7832,7831,7832,1036.8,1,3,,-0.6690024055034036
7850,7849,7850,1038.6,3,1,,-0.559342877287008
7860,7859,7860,1039.6,1,3,,-1.3909818527835387
7878,7877,7878,1041.4,3,0,,-1.309020098984963
7905,7904,7905,1044.1,0,2,,-0.8228096419616112
7933,7932,7933,1046.9,2,1,,-0.3676599653389875
7961,7960,7961,1049.7,1,3,,-0.6685841105548128
7993,7992,7993,1052.9,3,1,,-0.3096975185028346
7996,7995,7996,1053.2,1,3,,-1.0088443137130343
8027,8026,8027,1056.3,3,1,,-0.2822424639556055
8044,8043,8044,1058.0,1,2,,-0.3852699944380315
8052,8051,8052,1058.8,2,1,,0.7915696234708008
8059,8058,8059,1059.5,1,0,,0.1621107568911828
8067,8066,8067,1060.3,0,3,,-0.0213484656660489
8075,8074,8075,1061.1,3,1,,0.1344830399208396
8085,8084,8085,1062.1,1,3,,-0.176682822553617
8092,8091,8092,1062.8,3,1,,-0.1732374156974893
8140,8139,8140,1067.6,1,3,,0.5709115190768057
8151,8150,8151,1068.7,3,1,,-0.0296112831222539
8182,8181,8182,1071.8,1,2,,0.5958851799764284
8207,8206,8207,1074.3,2,1,,1.7713505178103393
8223,8222,8223,1075.9,1,0,,1.9321823409518908
8226,8225,8226,1076.2,0,1,,1.6305976884957256
8237,8236,8237,1077.3,1,3,,0.5027650725015607
8267,8266,8267,1080.3,3,0,,-0.0197271353376209
8274,8273,8274,1081.0,0,1,,0.2542592521960686
8301,8300,8301,1083.7,1,3,,-0.4650825397416815
8308,8307,8308,1084.4,3,1,,-0.0742179033425869
8324,8323,8324,1086.0,1,3,,0.0769747816589755
8337,8336,8337,1087.3,3,0,,0.7619526756383032
8350,8349,8350,1088.6,0,3,,-0.2002723557933605
8353,8352,8353,1088.9,3,0,,-0.1144597808391524
8360,8359,8360,1089.6,0,2,,-0.6141066942406783
8365,8364,8365,1090.1,2,0,,0.266293783238356
8372,8371,8372,1090.8,0,3,,0.1569133442469479
8376,8375,8376,1091.2,3,0,,0.5073769399762199
8382,8381,8382,1091.8,0,1,,0.3458937959434674
8404,8403,8404,1094.0,1,0,,0.5633163176883696
8419,8418,8419,1095.5,0,1,,-0.2976530847736988
8440,8439,8440,1097.6,1,3,,-0.3690284622017098
8447,8446,8447,1098.3,3,1,,0.2580331328947388
8453,8452,8453,1098.9,1,3,,-0.2897251292814655
8463,8462,8463,1099.9,3,0,,-0.1726362650827158
8471,8470,8471,1100.7,0,2,,0.230143270608349
8515,8514,8515,1105.1,2,0,,-0.242451228523358
8528,8527,8528,1106.4,0,1,,-0.0708604835266599
8531,8530,8531,1106.7,1,2,,-0.8365746764719872
8547,8546,8547,1108.3,2,1,,-1.1267889471935533
8552,8551,8552,1108.8,1,2,,-1.1881491212723327
8562,8561,8562,1109.8,2,1,,-0.9545884028832562
8570,8569,8570,1110.6,1,2,,0.2425535999029981
8612,8611,8612,1114.8,2,0,,-0.8086715741189535
8620,8619,8620,1115.6,0,3,,0.270276260140675
8647,8646,8647,1118.3,3,1,,0.2819232182044212
8657,8656,8657,1119.3,1,3,,5.63739535002952
8712,8711,8712,1124.8,3,1,,4.81512548388077
8732,8731,8732,1126.8,1,0,,3.124001742621929
8745,8744,8745,1128.1,0,1,,2.3800793733434853
8762,8761,8762,1129.8,1,3,,1.8069574201269016
8772,8771,8772,1130.8,3,1,,2.136979948703001
8796,8795,8796,1133.2,1,3,,1.7367772221401176
8801,8800,8801,1133.7,3,1,,1.478989574685707
8812,8811,8812,1134.8,1,3,,2.0560299871679377
8821,8820,8821,1135.7,3,1,,1.9417216708850475
8830,8829,8830,1136.6,1,2,,2.046315355852025
